"Grid","P.value","P.value.lower.bound","P.value.upper.bound","Longitude","Latitude"
358,0.282,0.27319519231,0.290931927775,-124.2,40.6
572,0.765,0.756563286942,0.773282116119,-122.2,39.8
623,0.2371,0.228791693242,0.245561674886,-122.2,39.6
624,1,0.999631180085,1,-122,39.6
676,1,0.999631180085,1,-121.8,39.4
726,0.1365,0.129827642009,0.143384810094,-122,39.2
777,1,0.999631180085,1,-122,39
778,1,0.999631180085,1,-121.8,39
880,1,0.999631180085,1,-121.8,38.6
931,1,0.999631180085,1,-121.8,38.4
982,0.559,0.549202638835,0.56876298104,-121.8,38.2
1033,0.1042,0.0982778123043,0.110353794905,-121.8,38
1086,0.694,0.684862355126,0.703024539438,-121.4,37.8
1087,1,0.999631180085,1,-121.2,37.8
1136,0.6999,0.690810177298,0.708873272801,-121.6,37.6
1235,1,0.999631180085,1,-122.2,37.2
1289,1,0.999631180085,1,-121.6,37
1347,0.1997,0.19190287028,0.207672403644,-120.2,36.8
1398,0.685,0.675792752709,0.694099395218,-120.2,36.6
1446,0.1528,0.145800014791,0.160002820577,-120.8,36.4
1448,0.4677,0.45788125546,0.47753756558,-120.4,36.4
1449,0.1855,0.17792398371,0.193259621814,-120.2,36.4
1450,0.1011,0.0952582571595,0.107175198166,-120,36.4
1451,0.5837,0.573965242676,0.593385981789,-119.8,36.4
1495,1,0.999631180085,1,-121.2,36.2
1499,1e-05,0,0.000368819914619,-120.4,36.2
1500,1,0.999631180085,1,-120.2,36.2
1501,0.696,0.686878369416,0.705007357588,-120,36.2
1547,1,0.999631180085,1,-121,36
1548,1,0.999631180085,1,-120.8,36
1550,0.742,0.733304800954,0.750554054322,-120.4,36
1551,8e-04,0.000345444476995,0.00157570710536,-120.2,36
1552,0.8092,0.801359068963,0.816860436312,-120,36
1553,1,0.999631180085,1,-119.8,36
1603,0.491,0.481155589984,0.500849654201,-120,35.8
1604,0.0482,0.0440840898954,0.0525815074601,-119.8,35.8
1605,0.5206,0.510753697632,0.530434298956,-119.6,35.8
1608,0.874,0.867336806558,0.880444531343,-119,35.8
1654,0.8279,0.820356585116,0.835251937591,-120,35.6
1655,0.9117,0.905968352283,0.91719053567,-119.8,35.6
1656,1,0.999631180085,1,-119.6,35.6
1657,0.1785,0.171039087119,0.186148629252,-119.4,35.6
1658,1,0.999631180085,1,-119.2,35.6
1659,0.8638,0.856921330249,0.870466040402,-119,35.6
1660,0.4774,0.467567978311,0.487245190496,-118.8,35.6
1706,0.7144,0.705435295968,0.723239686723,-119.8,35.4
1707,0.8777,0.87111834234,0.884060803871,-119.6,35.4
1708,0.3286,0.319394973631,0.33790494192,-119.4,35.4
1709,0.1415,0.134723930481,0.148485568934,-119.2,35.4
1710,0.2401,0.231754764614,0.248596848279,-119,35.4
1711,1,0.999631180085,1,-118.8,35.4
1753,0.1298,0.123271388736,0.136545024364,-120.6,35.2
1758,0.0037,0.00260643900771,0.00509639125316,-119.6,35.2
1759,1,0.999631180085,1,-119.4,35.2
1760,0.6681,0.658772681691,0.677329328217,-119.2,35.2
1761,1,0.999631180085,1,-119,35.2
1762,0.2714,0.262701970159,0.280231342764,-118.8,35.2
1804,0.5716,0.561831492748,0.581326783987,-120.6,35
1805,1e-05,0,0.000368819914619,-120.4,35
1810,0.6803,0.671057984026,0.689436906916,-119.4,35
1811,0.4814,0.471563580938,0.491247257083,-119.2,35
1812,1,0.999631180085,1,-119,35
1813,0.7172,0.708260728688,0.72601261853,-118.8,35
1855,0.3901,0.380522999122,0.399741048868,-120.6,34.8
1856,0.109,0.102956488313,0.115272261341,-120.4,34.8
1857,0.002,0.00122206662132,0.00308715598922,-120.2,34.8
1908,1,0.999631180085,1,-120.2,34.6
1915,0.1623,0.155122223678,0.169675017566,-118.8,34.6
1962,1,0.999631180085,1,-119.6,34.4
1963,0.1189,0.112617815165,0.125405054362,-119.4,34.4
1964,0.231,0.222768557215,0.239388380664,-119.2,34.4
1965,0.5753,0.565541181729,0.585014938586,-119,34.4
1966,1,0.999631180085,1,-118.8,34.4
1967,1,0.999631180085,1,-118.6,34.4
1968,0.1868,0.179203062928,0.19457977944,-118.4,34.4
2015,0.8514,0.844276291969,0.858318397123,-119.2,34.2
2017,0.7154,0.706444331062,0.724230067547,-118.8,34.2
2019,0.0355,0.0319591175788,0.0393146049056,-118.4,34.2
2070,0.8281,0.820559932314,0.835448472824,-118.4,34
2071,1e-05,0,0.000368819914619,-118.2,34
2072,0.7193,0.71038007889,0.728092041634,-118,34
2073,0.4554,0.445603429721,0.465222558796,-117.8,34
2121,1,0.999631180085,1,-118.4,33.8
2122,0.0373,0.0336712496603,0.0412012987551,-118.2,33.8
2123,0.0239,0.0209956898595,0.0270859150829,-118,33.8
2125,0.1235,0.117111835816,0.130108306944,-117.6,33.8
2174,1,0.999631180085,1,-118,33.6
